id,Order Item Id,Customer Fname,Customer Lname,Customer Id,Customer City,Customer Country,Customer Segment
1,MC179213,Adele,Pennington,19451,Pasig,Philippines,Home Office
2,TK101052,Lisa,Smith,2784,Pateros,Philippines,Consumer
3,TK121217,Mary,Grimes,2106,San Juan,Philippines,Consumer
4,TK121561,Mary,Yoder,4398,Valenzuela,Philippines,Consumer
5,MC133575,Mary,Smith,8993,Pateros,Philippines,Corporate
6,CR179190,Patience,Woodward,19428,Valenzuela,Philippines,Consumer
7,MC179143,Summer,Hester,19381,Malabon,Philippines,Consumer
8,CR179139,Denise,Young,19377,Pateros,Philippines,Consumer
9,CR179131,Rhonda,Bruce,19369,Pasay,Philippines,Corporate
10,MC179128,Joan,Hickman,19366,Valenzuela,Philippines,Consumer
11,CR145886,Mary,Mccoy,4280,Marikina,Philippines,Consumer
12,TK124607,Mary,Barnett,1759,Pasay,Philippines,Consumer
13,TK73253,Mary,Henry,88,Pasig,Philippines,Corporate
14,TK54942,Ann,Smith,10291,San Juan,Philippines,Corporate
15,TK104041,Mary,Clark,11372,Pateros,Philippines,Corporate
16,CR43614,Diana,Smith,10708,Parañaque,Philippines,Consumer
17,MC170721,George,Smith,7006,Muntinlupa,Philippines,Consumer
18,TK48340,Mary,Roth,9813,San Juan,Philippines,Consumer
19,TK60332,Mary,Branch,9345,San Juan,Philippines,Corporate
20,TK60332,Mary,Branch,9345,San Juan,Philippines,Corporate
21,TK77528,Eric,Lang,4627,Navotas,Philippines,Corporate
22,MC179079,Hyacinth,Burris,19317,Pateros,Philippines,Corporate
23,MC179072,Debra,Burgess,19310,Marikina,Philippines,Consumer
24,MC176534,Jane,Leblanc,16772,Valenzuela,Philippines,Corporate
25,CR176485,Pascale,Trevino,16723,Pateros,Philippines,Consumer
26,CR176478,Sacha,Johnston,16716,Marikina,Philippines,Consumer
27,TK48587,Patrick,Parsons,9989,Quezon City,Philippines,Consumer
28,MC33072,Joan,Buckley,10165,Pateros,Philippines,Consumer
29,TK124607,Mary,Barnett,1759,Pasay,Philippines,Consumer
30,MC37625,Jesse,Mack,4187,Quezon City,Philippines,Consumer
31,CR160004,Mary,Smith,6075,Taguig,Philippines,Consumer
32,TK108765,Mary,Fitzpatrick,1191,Las Piñas,Philippines,Consumer
33,TK108765,Mary,Fitzpatrick,1191,Las Piñas,Philippines,Consumer
34,TK48326,Jack,Smith,9426,San Juan,Philippines,Consumer
35,MC43489,Mary,Smith,5360,Parañaque,Philippines,Consumer
36,TK47568,Daniel,Suarez,10079,Mandaluyong,Philippines,Consumer
37,MC162921,Thomas,Smith,11212,Pateros,Philippines,Consumer
38,MC155727,Evelyn,Smith,3932,Parañaque,Philippines,Consumer
39,TK47568,Daniel,Suarez,10079,Mandaluyong,Philippines,Consumer
40,TK117704,Susan,Smith,7326,San Juan,Philippines,Consumer
41,TK62544,Ann,Smith,10291,San Juan,Philippines,Corporate
42,TK58068,Joseph,Graves,3122,Quezon City,Philippines,Corporate
43,CR178084,Roanna,Leonard,18322,Muntinlupa,Philippines,Corporate
44,MC178281,Ramona,Noel,18519,Taguig,Philippines,Corporate
45,TK104041,Mary,Clark,11372,Pateros,Philippines,Corporate
46,TK69828,Mary,Dunn,10800,Muntinlupa,Philippines,Corporate
47,MC175136,Rosalyn,Morton,15374,Malabon,Philippines,Corporate
48,TK73060,Maria,Mcfarland,8996,Quezon City,Philippines,Corporate
49,TK109829,Carolyn,Adams,5614,San Juan,Philippines,Corporate
50,TK72527,Nathan,Price,2153,Pateros,Philippines,Corporate
51,TK93518,Teresa,Grimes,2511,Mandaluyong,Philippines,Corporate
52,TK114948,Mary,Lloyd,6872,Valenzuela,Philippines,Corporate
53,TK114695,Mary,Olsen,12381,Taguig,Philippines,Corporate
54,TK126499,Mary,Branch,9345,San Juan,Philippines,Corporate
55,TK126499,Mary,Branch,9345,San Juan,Philippines,Corporate
56,TK45545,Carolyn,Woods,2228,San Juan,Philippines,Corporate
57,CR28992,Willie,Smith,8281,Pateros,Philippines,Corporate
58,CR155782,Mary,Brewer,3262,San Juan,Philippines,Corporate
59,MC176406,Moana,Rose,16644,Pasig,Philippines,Consumer
60,TK113005,David,Smith,321,Caloocan,Philippines,Consumer
61,TK90607,Ann,Smith,10291,San Juan,Philippines,Corporate
62,TK74532,Nicole,Smith,2938,Malabon,Philippines,Consumer
63,TK71782,Mary,Smith,2097,Pasig,Philippines,Corporate
64,CR15760,Mary,Smith,6486,San Juan,Philippines,Consumer
65,CR9682,Mary,Faulkner,5142,Makati,Philippines,Consumer
66,MC6780,Sharon,Smith,2307,Pasig,Philippines,Consumer
67,CR142021,Jessica,Smith,4623,Marikina,Philippines,Consumer
68,TK125913,Charles,Smith,4580,Pasay,Philippines,Consumer
69,TK120828,Mary,Meyer,11075,Caloocan,Philippines,Consumer
70,TK69828,Mary,Dunn,10800,Muntinlupa,Philippines,Corporate
71,TK58734,Gary,Tanner,11223,Valenzuela,Philippines,Corporate
72,TK58734,Gary,Tanner,11223,Valenzuela,Philippines,Corporate
73,TK125075,Mary,Lloyd,6872,Valenzuela,Philippines,Corporate
74,TK125075,Mary,Lloyd,6872,Valenzuela,Philippines,Corporate
75,TK54942,Ann,Smith,10291,San Juan,Philippines,Corporate
76,TK73253,Mary,Henry,88,Pasig,Philippines,Corporate
77,TK62544,Ann,Smith,10291,San Juan,Philippines,Corporate
78,TK53411,Mary,Smith,2653,Pasig,Philippines,Corporate
79,MC174982,Lani,Glover,15220,Pateros,Philippines,Corporate
80,TK53107,Gregory,Carroll,10484,San Juan,Philippines,Corporate
81,TK72158,Sarah,Smith,2484,Mandaluyong,Philippines,Corporate
82,TK53107,Gregory,Carroll,10484,San Juan,Philippines,Corporate
83,CR176898,Jessica,Mercado,17136,San Juan,Philippines,Corporate
